0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 
1.000000000000000e-12 1.891678072954199e-03 1.900045153255838e-03 -4.096945103401470e-05 -5.217369066295703e-05 2.948564193337734e-03 
2.000000000000000e-12 1.012056964379503e-02 1.013375519586052e-02 -1.031252492821893e-03 -1.058481659877920e-03 1.290182789123604e-02 
3.000000000000000e-12 1.818467102756614e-02 1.820824766587505e-02 -2.022662173000523e-03 -2.070367192439960e-03 2.289714379219102e-02 
4.000000000000000e-12 2.519553823807728e-02 2.522678797023089e-02 -2.794060043128586e-03 -2.857471154440484e-03 3.154874177250239e-02 
5.000000000000000e-12 3.254576387301214e-02 3.258475198158427e-02 -3.671172636664836e-03 -3.752193089185217e-03 4.069823156732690e-02 
5.999999999999999e-12 3.998497069987506e-02 4.003266874252794e-02 -4.529394460006234e-03 -4.628322842293084e-03 4.989191326500871e-02 
6.999999999999999e-12 4.733655413291053e-02 4.739213450208948e-02 -5.385928606035273e-03 -5.501862977007870e-03 5.899917275694017e-02 
8.000000000000000e-12 5.471265670893883e-02 5.477649798197761e-02 -6.248884567736770e-03 -6.382391778230642e-03 6.813762170759080e-02 
9.000000000000000e-12 6.210372727418696e-02 6.217578300590624e-02 -7.110334318076293e-03 -7.261225759201769e-03 7.728873539784796e-02 
9.999999999999999e-12 6.949552584811965e-02 6.957577002210279e-02 -7.975696708451652e-03 -8.143941268095343e-03 8.644233753318580e-02 
1.100000000000000e-11 7.689654973215679e-02 7.698503213559518e-02 -8.842987144338546e-03 -9.028616913532994e-03 9.560521270543024e-02 
1.200000000000000e-11 8.430735794391654e-02 8.440407893103326e-02 -9.713078400466847e-03 -9.916047306361614e-03 1.047792715083716e-01 
1.300000000000000e-11 9.172778543056495e-02 9.183276907691218e-02 -1.058622185426310e-02 -1.080651671746019e-02 1.139635643402160e-01 
1.400000000000000e-11 9.915935629000008e-02 9.927262160196237e-02 -1.146272660164451e-02 -1.170032675413157e-02 1.231600606125947e-01 
1.500000000000000e-11 1.066029930593380e-01 1.067245613990304e-01 -1.234286218942008e-02 -1.259773982406787e-02 1.323696995724980e-01 
1.600000000000000e-11 1.140596609252799e-01 1.141895573399424e-01 -1.322695301109904e-02 -1.349908384315979e-02 1.415934861520846e-01 
1.700000000000000e-11 1.215304047034500e-01 1.216686545365918e-01 -1.411532028589713e-02 -1.440467475431650e-02 1.508325797397922e-01 
1.800000000000000e-11 1.290162739282709e-01 1.291629052636624e-01 -1.500827969960243e-02 -1.531482721116180e-02 1.600880883983025e-01 
1.900000000000000e-11 1.365183307684557e-01 1.366733737311868e-01 -1.590616606187420e-02 -1.622987356552742e-02 1.693611569231905e-01 
2.000000000000000e-11 1.440376687616904e-01 1.442011554209442e-01 -1.680931970238379e-02 -1.715015185181106e-02 1.786529534074216e-01 
2.100000000000000e-11 1.515754057841783e-01 1.517473705467417e-01 -1.771809017870394e-02 -1.807600925282026e-02 1.879646701786447e-01 
