   L1, -99.9,   100
   L2, -99.9,   100
   L3, -99.9,   100
   L4, -99.9,   100
   L5, -99.9,   100
   L6, -99.9,   100
   L7, -35.2,   100
   L8, -58.9,  82.4
   L9, -99.2,   100
  L10, -99.6,   100
  L11,  -100,   100
  L12, -99.9,   100
  L13, -99.7,   100
  L14, -99.7,   100
   J1, -37.4,   100
   J2, -69.2,  36.4
   J3, -36.8,   100
   J4, -46.9,   100
   J5, -19.7,  31.7
   J6, -46.2,   100
   J7, -65.8,   100
   J8, -99.7,   100
   J9, -55.9,  44.1
  J10, -99.9,  90.7
  J11, -27.7,  40.2
   R2, -26.6,   100
   R3, -28.6,   100
   R4, -44.7,  63.4
   R5, -27.7,  86.7
   R1, -23.9,   100
   VB, -17.1,    10
